name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point663488,854,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point563455,442,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747058,1240,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point581083,1234,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654338,1158,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747260,915,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614729,962,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point578073,598,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748586,525,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747274,1116,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point639640,122,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747530,37,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point647020,775,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841947,846,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747258,796,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point617766,1004,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point646851,1109,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point581128,1245,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point653175,811,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747049,899,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672599,780,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746835,620,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590214,862,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point662128,499,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654998,548,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point606676,1142,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point671391,644,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point626832,573,0.001,0.0003,0.0,0.0,,1.0,True,wye
