premnum,Load
773711,0.292146118721461
774378,0.292146118721461
774662,0.292146118721461
775229,0.292146118721461
775337,0.292146118721461
797327,0.292146118721461
797463,0.292146118721461
797682,0.292146118721461
797782,0.292146118721461
798527,0.292146118721461
800432,0.292146118721461
802233,0.292146118721461
808407,0.292146118721461
818016,0.292146118721461
819722,0.292146118721461
820385,0.292146118721461
827008,0.292146118721461
830109,0.292146118721461
836045,0.292146118721461
836841,0.292146118721461
843424,0.292146118721461
844275,0.292146118721461
853460,0.292146118721461
871619,0.292146118721461
889493,0.292146118721461
901755,0.292146118721461
906900,0.292146118721461
909544,0.292146118721461
909603,0.292146118721461
920565,0.292146118721461
987133,0.292146118721461
1042052,0.292146118721461
1042074,0.292146118721461
1042703,0.292146118721461
1043655,0.292146118721461
1132947,0.292146118721461
1170281,0.292146118721461
1228076,0.292146118721461
1274020,0.292146118721461
1373597,0.292146118721461
1527108,0.292146118721461
1565226,0.292146118721461
1610776,0.292146118721461
1669553,0.292146118721461
1670836,0.292146118721461
1687117,0.292146118721461
1717929,0.292146118721461
1723784,0.292146118721461
1737264,0.292146118721461
1746285,0.292146118721461
1806234,0.292146118721461
1885043,0.292146118721461
1885104,0.292146118721461
1994141,0.292146118721461
2201427,0.292146118721461
2252015,0.292146118721461
2252430,0.292146118721461
2318443,0.292146118721461
2318450,0.292146118721461
2318451,0.292146118721461
2318452,0.292146118721461
2318490,0.292146118721461
2318501,0.292146118721461
2318529,0.292146118721461
2318541,0.292146118721461
2318542,0.292146118721461
2319084,0.292146118721461
2319129,0.292146118721461
2319131,0.292146118721461
2319170,0.292146118721461
2319172,0.292146118721461
2319525,0.292146118721461
2319584,0.292146118721461
2319603,0.292146118721461
2319712,0.292146118721461
2319714,0.292146118721461
2322104,0.292146118721461
2322129,0.292146118721461
2322173,0.292146118721461
2322261,0.292146118721461
2322318,0.292146118721461
2322664,0.292146118721461
2322714,0.292146118721461
2322718,0.292146118721461
2322819,0.292146118721461
2325966,0.292146118721461
2382167,0.292146118721461
2389006,0.292146118721461
2389460,0.292146118721461
2389478,0.292146118721461
2390086,0.292146118721461
2402231,0.292146118721461
2439262,0.292146118721461
2443101,0.292146118721461
2443104,0.292146118721461
2477077,0.292146118721461
2478003,0.292146118721461
2478254,0.292146118721461
2484734,0.292146118721461
2490400,0.292146118721461
2494963,0.292146118721461
2497172,0.292146118721461
2497499,0.292146118721461
2508620,0.292146118721461
2531420,0.292146118721461
2648380,0.292146118721461
2658301,0.292146118721461
2711685,0.292146118721461
2717220,0.292146118721461
2719900,0.292146118721461
2741421,0.292146118721461
2879435,0.292146118721461
2879926,0.292146118721461
2879928,0.292146118721461
2881092,0.292146118721461
2881094,0.292146118721461
