loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
5.759185462897783e-06,cable3338875,,92,137,0.0126440829,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741096461185044e-06,cable3336361,,431,126,0.0115226474,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741090139704919e-06,cable3336328,,686,618,0.010988088299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1330502795438649e-05,cable1212255,,622,1000,0.0175535453,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591831878558e-06,cable3338870,,809,1231,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.132523868846894e-05,cable1215072,,320,1048,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
2.879592261270823e-05,cable1204134,,483,462,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar254542,,197,1147,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.6652463858720835e-06,cable3338646,,330,928,0.013218837499999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1325223235736671e-05,cable1203186,,168,87,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
4.888175810514744e-12,cable2085246,,193,738,0.022133138299999997,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.5431491596640345e-06,cable3341623,,1121,1245,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759174576393351e-06,cable3338934,,682,245,0.0129034876,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1330504036500388e-05,cable2085242,,1200,193,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741083818226159e-06,cable3336362,,610,978,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.5431491596640345e-06,cable3341624,,1121,992,0.0100666724,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665252018250194e-06,cable3338662,,796,702,0.0113260006,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.002387262377531565,cable2122108,,1175,1204,0.244303352,0.1274,0.093,0.001,0.0,1000.0,1.0,1,,True
1.1330502350062386e-05,cable1178431,,1028,338,0.0164980907,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,geo_schematic_cable235949,,965,329,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.3825849052988093e-11,busbar251728,,969,113,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591917993188565e-06,cable3338908,,304,962,0.0142718578,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.662622276952655e-06,cable3338211,,476,746,0.0112132736,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.75919586070013e-06,cable3338958,,972,1144,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
