,vm_pu,name,vn_kv,type,zone,in_service
233,0.9514777705421901,cubicle45950,11.0,b,,True
234,0.954477261483898,cubicle50571,11.0,b,,True
235,0.9885589182094406,cn-cable3341612-t2,11.0,b,,True
236,0.9514778477879332,node84625589,11.0,b,,True
237,0.9819235309941717,cn-geo_schematic_cable65503-t2,11.0,b,,True
238,0.9514778362532672,cn-cable3339040-t2,11.0,b,,True
239,0.9514777716877406,cubicle34495,11.0,b,,True
240,0.9819235338389816,cn-geo_schematic_cable23101-t1,11.0,b,,True
241,0.9819235163326874,node23381694,11.0,b,,True
242,0.9514777894108384,cubicle35620,11.0,b,,True
243,0.9514777394917001,cn-cable3338908-t2,11.0,b,,True
244,0.9514778129474675,node71578611,11.0,b,,True
245,0.9819235129153704,node79493065,11.0,b,,True
246,0.9672543826696324,cubicle35158,11.0,b,,True
247,0.9672543735250451,cubicle69501,11.0,b,,True
248,0.9819235215683946,cn-cable3338344-t2,11.0,b,,True
249,0.9514778086683003,node23220058,11.0,b,,True
250,0.9677038078805275,cubicle33777,11.0,b,,True
251,0.9514778041635463,cn-cable3338875-t2,11.0,b,,True
252,0.9819235327448211,node59312978,11.0,b,,True
253,,node23179827,11.0,b,,True
254,0.9819235121263385,cubicle77078,11.0,b,,True
255,0.9672543811486252,node22373296,11.0,b,,True
256,0.9514777439608836,cubicle35727,11.0,b,,True
257,0.9672543782130255,node67195826,11.0,b,,True
258,0.9514777813010163,cubicle39022,11.0,b,,True
259,0.9984840785057071,node69876538,11.0,b,,True
260,0.9514778015142279,cn-cable3338187-t2,11.0,b,,True
261,0.954477253138206,cn-cable3336352-t2,11.0,b,,True
262,0.9544772616228648,cubicle49434,11.0,b,,True
263,0.9984462903059854,node24046352,11.0,b,,True
264,0.9977262222959318,node24039676,11.0,b,,True
265,0.9514778083913864,node71578742,11.0,b,,True
266,0.9819235293082588,node24153826,11.0,b,,True
267,0.9819235289127721,cn-cable3806606-t2,11.0,b,,True
268,0.998484124966024,cn-busbar355174-t2,11.0,b,,True
269,0.9544772355722099,cn-cable3336711-t2,11.0,b,,True
270,0.9997546614502045,cn-cable1235105-t2,11.0,b,,True
271,0.9514777565457361,cubicle43565,11.0,b,,True
272,0.9981406595683355,node84142962,11.0,b,,True
273,0.951477767252979,cubicle40264,11.0,b,,True
274,0.9885589077953316,node60264081,11.0,b,,True
275,0.9514777272962118,cn-cable3338865-t2,11.0,b,,True
276,0.9819235324165767,node59312975,11.0,b,,True
277,0.9544772369776969,cubicle43736,11.0,b,,True
278,0.954477235878943,cubicle49365,11.0,b,,True
279,0.9544772171044069,cubicle49345,11.0,b,,True
280,0.9819235163603643,cn-geo_schematic_cable235949-t2,11.0,b,,True
281,0.9514778128345506,cubicle41298,11.0,b,,True
282,0.9995536727337183,node24056328,11.0,b,,True
283,0.981923529022188,node153774263,11.0,b,,True
284,0.967703827770993,cn-cable3338851-t2,11.0,b,,True
285,0.9514777251585631,cubicle39128,11.0,b,,True
286,0.9885589183502298,cubicle48965,11.0,b,,True
287,0.9979930355114818,cn-cable1210504-t1,11.0,b,,True
288,0.9514777237777179,node69936339,11.0,b,,True
289,0.9514777440738006,node71578342,11.0,b,,True
290,0.951477725150368,cn-cable3338873-t2,11.0,b,,True
291,0.9544772498701615,cn-cable3269443-t2,11.0,b,,True
292,0.9672543946716684,cubicle47655,11.0,b,,True
293,0.967254372024574,node31975389,11.0,b,,True
294,0.9514777940404378,cubicle48092,11.0,b,,True
295,0.9514777770366529,cubicle37996,11.0,b,,True
296,0.9672543786573267,node67195828,11.0,b,,True
297,0.9672543895227025,cubicle46861,11.0,b,,True
298,0.997946117856969,node23052190,11.0,b,,True
299,0.9672543819017844,node67195325,11.0,b,,True
300,0.9514777971335037,cn-cable3338201-t2,11.0,b,,True
301,0.9984841116768675,node161553414,11.0,b,,True
302,0.9514777687618019,cubicle44801,11.0,b,,True
303,0.954477216932024,node69936185,11.0,b,,True
304,0.9544772869815636,node69935824,11.0,b,,True
305,0.9677038450917201,node65782916,11.0,b,,True
306,0.9980024002040773,cn-cable1200969-t2,11.0,b,,True
307,0.9514777601586307,cubicle33452,11.0,b,,True
308,0.9984210982910333,node23107372,11.0,b,,True
309,0.9544772653584239,cn-cable3336740-t2,11.0,b,,True
310,0.9514778141939221,cn-geo_schematic_cable14331-t2,11.0,b,,True
311,0.9819235052170561,cn-cable3713957-t2,11.0,b,,True
312,0.9885589044570614,cn-cable3341627-t2,11.0,b,,True
313,0.9514777698171089,cubicle47088,11.0,b,,True
314,0.9677038191441228,cn-cable3339129-t2,11.0,b,,True
315,0.9885589171622675,cubicle43298,11.0,b,,True
316,0.9819235217153499,node22955028,11.0,b,,True
317,0.9514777670204884,node67193296,11.0,b,,True
318,0.9677038276928526,cubicle43981,11.0,b,,True
319,0.981923536683791,node59313009,11.0,b,,True
320,0.9544771994823891,cn-cable3255753-t2,11.0,b,,True
321,0.9677038372751828,cn-cable3338209-t2,11.0,b,,True
