loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
5.580602284110566e-06,cable3771699,,203,1110,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819234978686003,cubicle111105,11.0,b,,True,cubicle111105,11.0,b,,True,152.922005,-31.4679911,,POINT (152.922005 -31.4679911)
5.580602284110566e-06,cable3338324,,203,1199,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819234978686003,cubicle111105,11.0,b,,True,cubicle111105,11.0,b,,True,152.922005,-31.4679911,,POINT (152.922005 -31.4679911)
5.759191352734345e-06,cable3338153,,830,681,0.0324318844,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777474138113,cubicle35717,11.0,b,,True,cubicle35717,11.0,b,,True,152.917686,-31.4686526,,POINT (152.917686 -31.4686526)
5.759189524277302e-06,cable3731921,,830,1064,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777474138113,cubicle35717,11.0,b,,True,cubicle35717,11.0,b,,True,152.917686,-31.4686526,,POINT (152.917686 -31.4686526)
5.5431676179265984e-06,cable3341621,,977,276,0.010028749299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589050024369,cubicle43298,11.0,b,,True,cubicle43298,11.0,b,,True,152.894283,-31.4628071,,POINT (152.894283 -31.4628071)
5.543164466405248e-06,cable3341620,,977,796,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589050024369,cubicle43298,11.0,b,,True,cubicle43298,11.0,b,,True,152.894283,-31.4628071,,POINT (152.894283 -31.4628071)
0.0,cable3256245,,568,1182,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235225182281,node24153826,11.0,b,,True,node24153826,11.0,b,,True,152.922582,-31.4686505,,POINT (152.922582 -31.4686505)
0.0,simulated24153826_100933,,568,522,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235225182281,node24153826,11.0,b,,True,node24153826,11.0,b,,True,152.922582,-31.4686505,,POINT (152.922582 -31.4686505)
5.580618521792185e-06,cable2729612,,568,664,0.0261452661,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235225182281,node24153826,11.0,b,,True,node24153826,11.0,b,,True,152.922582,-31.4686505,,POINT (152.922582 -31.4686505)
5.741090139704921e-06,cable3336713,,428,969,0.0120169753,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772531424754,cubicle43736,11.0,b,,True,cubicle43736,11.0,b,,True,152.921582,-31.4723012,,POINT (152.921582 -31.4723012)
5.741086615985958e-06,cable3336714,,428,927,0.0116218675,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772531424754,cubicle43736,11.0,b,,True,cubicle43736,11.0,b,,True,152.921582,-31.4723012,,POINT (152.921582 -31.4723012)
7.348539570906137e-11,cable1508102,,1209,787,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9990955929595994,cn-cable1508102-t1,11.0,b,,True,cn-cable1508102-t1,11.0,b,,True,152.901546,-31.4666928,,POINT (152.901546 -31.4666928)
