,name,vn_kv,type,zone,in_service,x,y,coords
42,node22951175,11.0,b,,True,152.920904,-31.4687464,
43,node67195678,11.0,b,,True,152.906765,-31.4651515,
44,cubicle110989,11.0,b,,True,152.921634,-31.4679443,
45,node60063771,11.0,b,,True,152.920214,-31.4713033,
46,cubicle41535,11.0,b,,True,152.920818,-31.4722866,
47,node67193101,11.0,b,,True,152.914408,-31.468836,
48,node24046336,11.0,b,,True,152.905876,-31.4653192,
49,node84625509,11.0,b,,True,152.91597,-31.4676746,
50,cn-busbar254942-t2,11.0,b,,True,152.91903,-31.4706068,
51,cubicle34603,11.0,b,,True,152.917407,-31.4687065,
52,cubicle41037,11.0,b,,True,152.894173,-31.4632754,
53,cubicle33239,11.0,b,,True,152.907086,-31.465436,
54,cn-busbar87065-t1,11.0,b,,True,152.895559,-31.4649602,
55,cn-busbar85071-t2,11.0,b,,True,152.905991,-31.4653382,
56,node84338546,11.0,b,,True,152.919009,-31.4706694,
57,cubicle49220,11.0,b,,True,152.914608,-31.466315,
58,cubicle42550,11.0,b,,True,152.912303,-31.4660857,
59,node61288125,11.0,b,,True,152.922703,-31.4697205,
60,cubicle45373,11.0,b,,True,152.906436,-31.4657088,
61,cn-cable3339042-t2,11.0,b,,True,152.915022,-31.4655942,
62,cn-busbar87086-t2,11.0,b,,True,152.896034,-31.4675006,
63,cubicle39124,11.0,b,,True,152.916057,-31.4683594,
64,node23378216,11.0,b,,True,152.912831,-31.4672154,
65,cn-geo_schematic_cable23100-t2,11.0,b,,True,152.922355,-31.4684318,
66,cn-simulated22958791_144043-t1,11.0,b,,True,152.922689,-31.4701007,
67,cn-cable3338934-t2,11.0,b,,True,152.915101,-31.4659501,
68,cubicle49429,11.0,b,,True,152.920775,-31.4703899,
69,node60264071,11.0,b,,True,152.894161,-31.4632736,
70,node29539829,11.0,b,,True,152.898808,-31.4656364,
71,node35224015,11.0,b,,True,152.903864,-31.4678909,
72,node74092492,11.0,b,,True,152.897784,-31.4666787,
73,cubicle41409,11.0,b,,True,152.915314,-31.4686933,
74,node67193139,11.0,b,,True,152.914726,-31.4682753,
75,cn-cable3338143-t2,11.0,b,,True,152.915778,-31.4682505,
76,cn-cable3338482-t2,11.0,b,,True,152.904565,-31.4640197,
77,node22997808,11.0,b,,True,152.904028,-31.4671829,
78,node36726535,11.0,b,,True,152.92143,-31.4683488,
79,node34701112,11.0,b,,True,152.895865,-31.4616425,
80,node71578952,11.0,b,,True,152.915214,-31.4656812,
81,cn-cable3338931-t2,11.0,b,,True,152.915721,-31.4651576,
82,cubicle33478,11.0,b,,True,152.922089,-31.4700635,
83,node65782798,11.0,b,,True,152.911098,-31.4675294,
84,node67195151,11.0,b,,True,152.90452,-31.4657283,
85,cubicle97112,11.0,b,,True,152.920828,-31.4682577,
86,cn-geo_schematic_cable22425-t2,11.0,b,,True,152.920951,-31.4708611,
87,cubicle49332,11.0,b,,True,152.913352,-31.4670268,
88,cn-cable3338140-t2,11.0,b,,True,152.915135,-31.4680736,
89,cubicle39034,11.0,b,,True,152.915935,-31.4666343,
90,cn-cable3336382-t2,11.0,b,,True,152.921552,-31.4704553,
91,cn-cable3341616-t2,11.0,b,,True,152.895083,-31.4625205,
92,node65782890,11.0,b,,True,152.913166,-31.4677965,
93,cubicle47839,11.0,b,,True,152.894923,-31.4624961,
94,node67195498,11.0,b,,True,152.906176,-31.4655086,
95,cn-cable3338860-t2,11.0,b,,True,152.912112,-31.4668368,
96,cn-cable3338681-t2,11.0,b,,True,152.907088,-31.4658987,
97,node23148406,11.0,b,,True,152.895642,-31.4621709,
98,node59740707,11.0,b,,True,152.912414,-31.4676206,
99,cubicle44837,11.0,b,,True,152.9216,-31.4705797,
100,node57578117,11.0,b,,True,152.914678,-31.4667453,
101,cn-cable3336354-t2,11.0,b,,True,152.921057,-31.4697955,
102,cn-cable3338995-t2,11.0,b,,True,152.915922,-31.4670724,
103,cubicle35723,11.0,b,,True,152.917041,-31.4685151,
104,cubicle44239,11.0,b,,True,152.905753,-31.4661765,
105,node69935554,11.0,b,,True,152.920533,-31.4719448,
106,cubicle33355,11.0,b,,True,152.9157,-31.4668783,
107,cn-cable2937656-t2,11.0,b,,True,152.904178,-31.4672275,
108,cn-cable3338469-t2,11.0,b,,True,152.905714,-31.4660684,
109,cn-cable3338914-t2,11.0,b,,True,152.913356,-31.4661845,
110,cubicle47097,11.0,b,,True,152.913164,-31.466339,
111,node84142353,11.0,b,,True,152.893653,-31.4661043,
112,node29539588,11.0,b,,True,152.897017,-31.4633647,
113,node71578449,11.0,b,,True,152.914272,-31.4664957,
114,cubicle43985,11.0,b,,True,152.911958,-31.4686584,
115,cubicle36872,11.0,b,,True,152.921429,-31.4695469,
116,node59312998,11.0,b,,True,152.922377,-31.4684175,
117,cubicle38002,11.0,b,,True,152.915344,-31.4689914,
118,cubicle36039,11.0,b,,True,152.910915,-31.468146,
119,node67194604,11.0,b,,True,152.904937,-31.4634545,
120,node71579187,11.0,b,,True,152.915788,-31.467313,
121,node83235361,11.0,b,,True,152.896033,-31.4674957,
122,cn-cable3338227-t2,11.0,b,,True,152.910966,-31.4682325,
123,node71579091,11.0,b,,True,152.914717,-31.4667235,
124,node69935532,11.0,b,,True,152.920895,-31.4716813,
125,node29539449,11.0,b,,True,152.896333,-31.4612763,
126,node161553438,11.0,b,,True,152.909545,-31.4664394,
127,cubicle69503,11.0,b,,True,152.904949,-31.4634754,
128,cn-geo_schematic_cable1684-t2,11.0,b,,True,152.906012,-31.4652941,
129,node36726527,11.0,b,,True,152.921246,-31.4683259,
130,node69935711,11.0,b,,True,152.920944,-31.4708825,
