,name,vn_kv,type,zone,in_service,x,y,coords
234,cubicle50571,11.0,b,,True,152.920804,-31.4715438,
235,cn-cable3341612-t2,11.0,b,,True,152.89454,-31.4623552,
236,node84625589,11.0,b,,True,152.915965,-31.4676739,
237,cn-geo_schematic_cable65503-t2,11.0,b,,True,152.922342,-31.4686192,
238,cn-cable3339040-t2,11.0,b,,True,152.915431,-31.4676939,
239,cubicle34495,11.0,b,,True,152.915872,-31.4669776,
240,cn-geo_schematic_cable23101-t1,11.0,b,,True,152.922378,-31.4684294,
241,node23381694,11.0,b,,True,152.919292,-31.4685517,
242,cubicle35620,11.0,b,,True,152.914715,-31.4667233,
243,cn-cable3338908-t2,11.0,b,,True,152.913442,-31.4664682,
244,node71578611,11.0,b,,True,152.914559,-31.4669988,
245,node79493065,11.0,b,,True,152.921514,-31.4681628,
246,cubicle35158,11.0,b,,True,152.904838,-31.4651638,
247,cubicle69501,11.0,b,,True,152.904811,-31.464159,
248,cn-cable3338344-t2,11.0,b,,True,152.921604,-31.4686015,
249,node23220058,11.0,b,,True,152.916741,-31.4678253,
250,cubicle33777,11.0,b,,True,152.911282,-31.4683033,
251,cn-cable3338875-t2,11.0,b,,True,152.913252,-31.4669523,
252,node59312978,11.0,b,,True,152.922368,-31.4684424,
253,node23179827,11.0,b,,True,152.895642,-31.4621709,
254,cubicle77078,11.0,b,,True,152.921242,-31.4683175,
255,node22373296,11.0,b,,True,152.904846,-31.4657991,
256,cubicle35727,11.0,b,,True,152.913357,-31.4661949,
257,node67195826,11.0,b,,True,152.907327,-31.4660347,
258,cubicle39022,11.0,b,,True,152.914966,-31.4656848,
259,node69876538,11.0,b,,True,152.90939,-31.4664185,
260,cn-cable3338187-t2,11.0,b,,True,152.914685,-31.4684051,
261,cn-cable3336352-t2,11.0,b,,True,152.92077,-31.4702669,
262,cubicle49434,11.0,b,,True,152.920915,-31.4716819,
263,node24046352,11.0,b,,True,152.905884,-31.4653014,
264,node24039676,11.0,b,,True,152.921018,-31.4708312,
265,node71578742,11.0,b,,True,152.914502,-31.4672867,
266,node24153826,11.0,b,,True,152.922582,-31.4686505,
267,cn-cable3806606-t2,11.0,b,,True,152.922873,-31.468798,
268,cn-busbar355174-t2,11.0,b,,True,152.909613,-31.466457,
269,cn-cable3336711-t2,11.0,b,,True,152.921407,-31.4720306,
270,cn-cable1235105-t2,11.0,b,,True,152.89603,-31.4626631,
271,cubicle43565,11.0,b,,True,152.913762,-31.466483,
272,node84142962,11.0,b,,True,152.914462,-31.4674439,
273,cubicle40264,11.0,b,,True,152.915479,-31.4687981,
274,node60264081,11.0,b,,True,152.894168,-31.4632904,
275,cn-cable3338865-t2,11.0,b,,True,152.912224,-31.466081,
276,node59312975,11.0,b,,True,152.92238,-31.4684412,
277,cubicle43736,11.0,b,,True,152.921582,-31.4723012,
278,cubicle49365,11.0,b,,True,152.921556,-31.4720855,
279,cubicle49345,11.0,b,,True,152.921765,-31.4699278,
280,cn-geo_schematic_cable235949-t2,11.0,b,,True,152.920592,-31.4693349,
281,cubicle41298,11.0,b,,True,152.914631,-31.4667821,
282,node24056328,11.0,b,,True,152.895536,-31.4649658,
283,node153774263,11.0,b,,True,152.922836,-31.4687401,
284,cn-cable3338851-t2,11.0,b,,True,152.911615,-31.4665525,
285,cubicle39128,11.0,b,,True,152.912267,-31.4664208,
286,cubicle48965,11.0,b,,True,152.894442,-31.4624364,
287,cn-cable1210504-t1,11.0,b,,True,152.922329,-31.4686136,
288,node69936339,11.0,b,,True,152.912351,-31.466795,
289,node71578342,11.0,b,,True,152.913339,-31.4661979,
290,cn-cable3338873-t2,11.0,b,,True,152.912519,-31.4663917,
291,cn-cable3269443-t2,11.0,b,,True,152.920808,-31.4721783,
292,cubicle47655,11.0,b,,True,152.905658,-31.4651922,
293,node31975389,11.0,b,,True,152.904876,-31.4638114,
294,cubicle48092,11.0,b,,True,152.914773,-31.4663991,
295,cubicle37996,11.0,b,,True,152.916155,-31.4685377,
296,node67195828,11.0,b,,True,152.907327,-31.4659404,
297,cubicle46861,11.0,b,,True,152.906756,-31.4651631,
298,node23052190,11.0,b,,True,152.922699,-31.4701031,
299,node67195325,11.0,b,,True,152.905066,-31.4658598,
300,cn-cable3338201-t2,11.0,b,,True,152.914423,-31.469089,
301,node161553414,11.0,b,,True,152.909593,-31.4664393,
302,cubicle44801,11.0,b,,True,152.916619,-31.4686239,
303,node69936185,11.0,b,,True,152.921743,-31.4692912,
304,node69935824,11.0,b,,True,152.922166,-31.4712596,
305,node65782916,11.0,b,,True,152.912664,-31.4676786,
306,cn-cable1200969-t2,11.0,b,,True,152.92193,-31.4685611,
307,cubicle33452,11.0,b,,True,152.91769,-31.4686642,
308,node23107372,11.0,b,,True,152.911245,-31.4669782,
309,cn-cable3336740-t2,11.0,b,,True,152.920938,-31.470748,
310,cn-geo_schematic_cable14331-t2,11.0,b,,True,152.914663,-31.4667523,
311,cn-cable3713957-t2,11.0,b,,True,152.921929,-31.4678687,
312,cn-cable3341627-t2,11.0,b,,True,152.894425,-31.4633544,
313,cubicle47088,11.0,b,,True,152.915618,-31.4672854,
314,cn-cable3339129-t2,11.0,b,,True,152.911221,-31.4675585,
