,vm_pu,name,vn_kv,type
370,0.967703844602007,node23319269,11.0,b
371,0.9514777763226314,cn-cable3338950-t2,11.0,b
372,0.9544771951406603,node22943850,11.0,b
373,0.967254376431019,cn-geo_schematic_cable1861-t2,11.0,b
374,0.9677038534169761,cubicle50763,11.0,b
375,0.9677038538172199,node69876678,11.0,b
376,0.9514777804410995,cn-cable3338921-t2,11.0,b
377,0.9672543980586111,cubicle39696,11.0,b
378,0.9514777806800978,cubicle45838,11.0,b
379,0.9677038313708847,node69876797,11.0,b
380,0.981923496231742,node79493030,11.0,b
381,0.9819234891785715,cubicle111147,11.0,b
382,0.9514777915568581,node71578708,11.0,b
383,0.9677038408061777,cubicle43985,11.0,b
384,0.9514777125249145,node69936372,11.0,b
385,0.9544772921906847,cn-cable3336729-t2,11.0,b
386,0.951477839888464,node84625509,11.0,b
387,0.981923496427452,cubicle77078,11.0,b
388,0.9514777908138686,node101119328,11.0,b
389,0.967254401490108,node67195503,11.0,b
390,0.9984841115405854,node161553431,11.0,b
391,0.9514777847994461,node67193045,11.0,b
392,0.9514777922795719,cn-cable3339049-t2,11.0,b
393,0.9514777764406954,cubicle36749,11.0,b
394,0.981923496427452,node36726527,11.0,b
395,0.9677038550390614,cubicle39443,11.0,b
396,0.9677038364315601,cubicle38311,11.0,b
397,0.9819235005520771,cubicle37985,11.0,b
398,0.9514777806079311,cubicle49220,11.0,b
399,0.9677038299542597,cn-cable3338222-t2,11.0,b
400,0.9672543787286514,node67195771,11.0,b
401,0.9978799587956704,cn-cable3338483-t2,11.0,b
402,0.9989847736827523,cn-cable1218152-t1,11.0,b
403,0.9672544124762634,node57577389,11.0,b
404,0.9514777581287263,node67193367,11.0,b
405,0.9885589227781909,cn-cable3341619-t2,11.0,b
406,0.9819234934293698,node36726501,11.0,b
407,0.9677038250081249,cubicle33777,11.0,b
408,0.9983821354472785,cn-cable1133130-t1,11.0,b
409,0.9514777585220641,cubicle33355,11.0,b
410,0.9514777854296322,cn-cable3338188-t2,11.0,b
411,0.9544772048122329,node69936009,11.0,b
412,0.9993470874747357,node141207713,11.0,b
413,0.951477790678872,cn-cable3339035-t2,11.0,b
414,0.9514777640613683,cubicle37996,11.0,b
415,0.9993467023177446,cn-busbar87086-t2,11.0,b
416,0.9990955938792841,node150179237,11.0,b
417,0.9993467152494712,node84142353,11.0,b
418,0.9819235195625214,node59312972,11.0,b
419,0.9672543817695534,cn-cable3338470-t2,11.0,b
420,0.9819234935549395,cubicle97111,11.0,b
421,0.951477756238186,node67193435,11.0,b
422,0.9983182303256651,node24069238,11.0,b
423,0.9514777866511102,cn-cable3339031-t2,11.0,b
424,0.9992970015292844,cn-busbar251728-t1,11.0,b
425,0.9514777563562726,node71579002,11.0,b
426,,node29539449,11.0,b
427,0.951477785581824,node57578118,11.0,b
428,0.9544772123419103,cn-cable3336362-t2,11.0,b
429,0.9514777558633448,cubicle43670,11.0,b
430,0.9980527240026049,cn-cable3397178-t1,11.0,b
431,0.9544772348066505,cubicle39191,11.0,b
432,0.9980275926366866,node84145216,11.0,b
433,0.9819235132139039,cn-cable3806606-t2,11.0,b
