name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable2798311,,634,455,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1176111,,53,13,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1840,,1084,665,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar251715,,419,1,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338862,,270,464,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338681,,805,251,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508084,,164,84,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3713957,,264,116,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1198540,,73,892,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1184230,,168,68,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2727645,,246,304,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336367,,226,776,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338470,,198,261,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338685,,771,438,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1122795,,591,795,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341083,,221,955,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338142,,117,1197,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1191230,,420,148,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338958,,606,429,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338952,,348,1189,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar85065,,309,567,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
