loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type
0.0,busbar251730,,465,1104,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,cable2768851,,324,1001,0.0130234074,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518385384977102e-05,cable1134196,,533,622,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.543149159664034e-06,cable3341613,,162,1198,0.012099487800000001,0.001,0.001,0.001,0.0,1000.0,1.0,
2.4440879052573717e-12,cable2085246,,146,1228,0.022133138299999997,0.001,0.001,0.001,0.0,1000.0,1.0,
2.3036750665285507e-05,cable1175839,,384,237,0.0381355101,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665254945792745e-06,cable3338667,,476,841,0.0112705963,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741082937296173e-06,cable3336381,,961,45,0.0201525537,0.001,0.001,0.001,0.0,1000.0,1.0,
6.911026942101495e-05,cable1153450,,125,79,0.0281525743,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759179615188964e-06,cable3338925,,923,1178,0.011610122499999998,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0,geo_schematic_cable34375,,834,1071,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741096461185043e-06,cable3269443,,194,235,0.0120910668,0.001,0.001,0.001,0.0,1000.0,1.0,
5.245078659240655e-07,busbar87086,,1131,415,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759185951606101e-06,cable3338937,,378,1212,0.0121813489,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759188184523917e-06,cable3338153,,172,627,0.0324318844,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759189524277301e-06,cable3338183,,896,867,0.010319131,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741096461185043e-06,cable1197746,,195,791,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759180424112471e-06,cable3338998,,1010,758,0.010434532000000002,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518371818963941e-05,cable1133494,,626,472,0.016942044500000003,0.001,0.001,0.001,0.0,1000.0,1.0,
5.09635503698334e-05,cable2714379,,93,310,0.025112918,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518386851091624e-05,cable1225850,,585,319,0.018229978299999998,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759183676563272e-06,cable1119598,,44,687,0.0197019076,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741091720074822e-06,cable3336400,,860,1133,0.045455363900000004,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00011897019437342956,geo_schematic_cable1684,,119,761,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.54315913909983e-06,cable2698392,,98,1118,0.025471041899999998,0.001,0.001,0.001,0.0,1000.0,1.0,
5.665245755820082e-06,cable3338745,,267,789,0.0109809546,0.001,0.001,0.001,0.0,1000.0,1.0,
