loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu,name_NODE1,vn_kv,x,y
5.580627025187544e-06,cable2187620,,83,56,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235067568073,node36726543,11.0,152.922026,-31.4684419
8.928991332029138e-05,cable2970007,,83,115,0.0475666946,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235067568073,node36726543,11.0,152.922026,-31.4684419
0.00017299917788046357,geo_schematic_cable23107,,1207,681,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235243768176,cn-geo_schematic_cable23107-t1,11.0,152.922355,-31.4684318
1.6987872259042534e-05,cable1162667,,379,582,0.0170986187,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038313708847,node69876797,11.0,152.910933,-31.4675238
1.132524494847809e-05,cable1134245,,379,756,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038313708847,node69876797,11.0,152.910933,-31.4675238
0.0,busbar251716,,660,1088,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9993467152494703,node84142381,11.0,152.89365,-31.4661061
1.9552703242058977e-11,busbar254543,,660,1081,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9993467152494703,node84142381,11.0,152.89365,-31.4661061
1.128114283199136e-05,cable1224849,,966,1112,0.0151506552,0.2686,0.3596,0.001,0.0,1000.0,1.0,,0.9993467765895075,node23167832,11.0,152.897796,-31.466543
5.244323941375947e-07,cable1142423,,966,746,0.09247140159999999,0.258,0.3596,0.001,0.0,1000.0,1.0,,0.9993467765895075,node23167832,11.0,152.897796,-31.466543
0.00012224756048120108,cable1219505,,266,642,0.0285107225,0.258,0.3596,0.001,0.0,1000.0,1.0,,0.9998123761537521,node23148406,11.0,152.895642,-31.4621709
0.0022651446171821454,cable1235105,,266,1051,0.0636448308,0.1443,0.3363,0.001,0.0,1000.0,1.0,,0.9998123761537521,node23148406,11.0,152.895642,-31.4621709
5.741091901569833e-06,cable3336382,,63,1126,0.0145698423,0.001,0.001,0.001,0.0,1000.0,1.0,,0.954477204264829,cubicle44837,11.0,152.921639,-31.4706204
5.741096461185043e-06,cable3336369,,63,839,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.954477204264829,cubicle44837,11.0,152.921639,-31.4706204
5.665252018250194e-06,cable3338740,,264,77,0.010492251,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543913318095,cubicle50237,11.0,152.906719,-31.4648768
5.665248683365866e-06,cable3338741,,264,197,0.0112231522,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543913318095,cubicle50237,11.0,152.906719,-31.4648768
5.58061465464564e-06,cable3713957,,876,283,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819234896275812,cubicle111008,11.0,152.921878,-31.4679455
5.58061465464564e-06,cable3713956,,876,1161,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819234896275812,cubicle111008,11.0,152.921878,-31.4679455
5.759186760537015e-06,cable3338994,,751,598,0.011483942,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777587124459,cubicle34495,11.0,152.915872,-31.4669776
5.759186760537012e-06,cable3338995,,751,1261,0.0115845795,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777587124459,cubicle34495,11.0,152.915872,-31.4669776
1.1518367673348045e-05,cable1212240,,58,787,0.016728785399999998,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777993823963,node71578497,11.0,152.914539,-31.4671013
8.822744460352747e-06,cable1172443,,58,147,0.019575365600000002,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777993823963,node71578497,11.0,152.914539,-31.4671013
5.7591831878558e-06,cable1215234,,58,219,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777993823963,node71578497,11.0,152.914539,-31.4671013
0.0,simulated24153826_100933,,238,1151,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235136093905,node24153826,11.0,152.922582,-31.4686505
0.0,cable3256245,,238,66,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235136093905,node24153826,11.0,152.922582,-31.4686505
5.580623152633816e-06,cable2729612,,238,453,0.0261452661,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235136093905,node24153826,11.0,152.922582,-31.4686505
5.543161465170618e-06,cable3341624,,579,711,0.0100666724,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589071474303,cubicle34229,11.0,152.894712,-31.4631494
5.543167617926598e-06,cable3341623,,579,897,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589071474303,cubicle34229,11.0,152.894712,-31.4631494
3.4555132646077116e-05,cable1155958,,226,73,0.0439668068,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777868035181,node35591462,11.0,152.917556,-31.4679393
5.759191799318855e-06,cable3339032,,226,1248,0.0132779893,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777868035181,node35591462,11.0,152.917556,-31.4679393
5.759185462897782e-06,cable3339092,,226,928,0.0239709162,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777868035181,node35591462,11.0,152.917556,-31.4679393
