loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu_NODE1,name_NODE1,vn_kv_NODE1,x_NODE1,y_NODE1,vm_pu_NODE2,name,vn_kv_NODE2,x_NODE2,y_NODE2
1.5457769164566234e-11,geo_schematic_cable36511,,545,544,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9885589198251802,node60264190,11.0,152.893748,-31.4624338,0.9885589198251803,node60264191,11.0,152.893763,-31.4624296
0.0003288860778385225,busbar355169,,581,725,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.998484098292813,cn-busbar355169-t1,11.0,152.909613,-31.4664215,0.99848409165858,node161553366,11.0,152.909655,-31.4664214
0.0,busbar87095,,551,34,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9993467023384571,node24056448,11.0,152.896034,-31.4675056,0.9993467023384571,cn-busbar87095-t2,11.0,152.896037,-31.4675054
5.245107936822414e-07,busbar87085,,551,963,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9993467023384571,node24056448,11.0,152.896034,-31.4675056,0.9993467023281009,cn-busbar87085-t2,11.0,152.896034,-31.4675042
5.74108881830861e-06,cable2077260,,372,39,0.032372855299999996,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544771951406603,node22943850,11.0,152.922605,-31.4705887,0.9544771947762648,cubicle68128,11.0,152.922434,-31.4708289
0.0,geo_schematic_cable235949,,969,507,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.981923500661494,node84625697,11.0,152.920827,-31.4693458,0.981923500661494,cn-geo_schematic_cable235949-t2,11.0,152.920592,-31.4693349
5.759183187855799e-06,cable3338997,,498,216,0.011456723200000001,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777618866428,cubicle41305,11.0,152.915939,-31.4666438,0.9514777617572772,cn-cable3338997-t2,11.0,152.91599,-31.4667369
1.1518360039291089e-05,cable1171335,,498,1204,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777618866428,cubicle41305,11.0,152.915939,-31.4666438,0.9514777616608091,cubicle39034,11.0,152.915946,-31.4665903
5.759188062347698e-06,cable3338993,,498,992,0.0662531037,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777618866428,cubicle41305,11.0,152.915939,-31.4666438,0.9514777611385333,cn-cable3338993-t2,11.0,152.915945,-31.4666355
5.662619344234469e-06,cable3338213,,556,714,0.011453,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038611710617,cubicle45116,11.0,152.912833,-31.467564,0.9677038610439065,cn-cable3338213-t2,11.0,152.912756,-31.4674851
5.662631864255055e-06,cable3338214,,556,538,0.0107238878,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038611710617,cubicle45116,11.0,152.912833,-31.467564,0.967703861052001,cn-cable3338214-t2,11.0,152.912937,-31.4675276
0.00010763978801554957,geo_schematic_cable14579,,970,1132,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672544146977633,cn-geo_schematic_cable14579-t1,11.0,152.905999,-31.4653206,0.9672544125873342,node57577399,11.0,152.906012,-31.4653247
0.0,busbar85064,,624,717,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984462901867175,cn-busbar85064-t1,11.0,152.905863,-31.4652733,0.9984462901867175,node24234571,11.0,152.905833,-31.4652631
3.963831833594042e-05,cable1135646,,310,85,0.0257022311,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038297377152,node65782807,11.0,152.911009,-31.4677418,0.9677038277402286,node65782830,11.0,152.910918,-31.4679592
1.132524265029746e-05,cable2717490,,310,101,0.0314630245,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038297377152,node65782807,11.0,152.911009,-31.4677418,0.967703829039087,cubicle102861,11.0,152.910787,-31.4678319
