,name,vn_kv,type,x,y,coords
316,cn-cable3338475-t2,11.0,b,152.906044,-31.4656975,
317,node161553407,11.0,b,152.909593,-31.466457,
318,cn-simulated23427399_210792-t1,11.0,b,152.904518,-31.4626351,
319,cubicle41409,11.0,b,152.915314,-31.4686933,
320,cn-cable3338283-t2,11.0,b,152.920538,-31.4684501,
321,cn-cable1115303-t1,11.0,b,152.915975,-31.4676754,
322,node73296175,11.0,b,152.916577,-31.4670516,
323,node161553384,11.0,b,152.909675,-31.4664568,
324,node67195527,11.0,b,152.906474,-31.4660412,
325,cubicle39028,11.0,b,152.914279,-31.4664834,
326,node71579187,11.0,b,152.915788,-31.467313,
327,node84142412,11.0,b,152.89365,-31.4661027,
328,node23381694,11.0,b,152.919292,-31.4685517,
329,cn-cable1144520-t2,11.0,b,152.914465,-31.4674532,
330,node101117387,11.0,b,152.904732,-31.4644755,
331,cn-cable3338179-t2,11.0,b,152.915568,-31.4687194,
332,cubicle49635,11.0,b,152.912399,-31.4681971,
333,cubicle49329,11.0,b,152.914398,-31.4683934,
334,node23058287,11.0,b,152.89402,-31.466117,
335,cn-cable1188760-t1,11.0,b,152.896792,-31.4645411,
336,cn-cable1236610-t1,11.0,b,152.907991,-31.4678585,
337,node69935403,11.0,b,152.92158,-31.4722671,
338,node29539805,11.0,b,152.900356,-31.4664187,
339,cubicle41403,11.0,b,152.916253,-31.4683939,
340,node74598356,11.0,b,152.912439,-31.4675348,
341,node67193148,11.0,b,152.914505,-31.4682865,
342,cn-cable3338919-t2,11.0,b,152.914207,-31.4663931,
343,cubicle40584,11.0,b,152.911387,-31.4673594,
344,cubicle46265,11.0,b,152.91264,-31.4675187,
345,cubicle77072,11.0,b,152.922029,-31.4684298,
346,cn-cable3338926-t2,11.0,b,152.914881,-31.4657172,
347,cn-busbar84114-t2,11.0,b,152.912399,-31.4676613,
348,cubicle40579,11.0,b,152.913162,-31.4678096,
349,node71578408,11.0,b,152.913806,-31.4663387,
350,cn-cable3336327-t2,11.0,b,152.920772,-31.4711244,
351,cn-cable3338180-t2,11.0,b,152.915434,-31.4690208,
352,cn-cable3338216-t2,11.0,b,152.912259,-31.4674116,
353,cn-cable3336708-t2,11.0,b,152.92109,-31.472463,
354,cn-cable3338340-t2,11.0,b,152.921824,-31.4686239,
355,cubicle49109,11.0,b,152.90662,-31.4650241,
356,node84625716,11.0,b,152.920872,-31.4687987,
357,cn-geo_schematic_cable14365-t2,11.0,b,152.905999,-31.4653206,
358,cubicle47097,11.0,b,152.913164,-31.466339,
359,cn-cable3336380-t2,11.0,b,152.921944,-31.4705391,
360,node71579091,11.0,b,152.914717,-31.4667235,
361,cubicle44805,11.0,b,152.913114,-31.4661885,
362,cn-geo_schematic_cable36510-t2,11.0,b,152.89377,-31.4624034,
363,node57578109,11.0,b,152.914673,-31.4667639,
364,cubicle43298,11.0,b,152.894283,-31.4628071,
365,cn-cable3338259-t2,11.0,b,152.912826,-31.4681239,
366,cn-cable3336368-t2,11.0,b,152.921449,-31.4696724,
367,cn-cable3338902-t2,11.0,b,152.914273,-31.4671802,
368,cn-cable3339592-t2,11.0,b,152.914352,-31.4675273,
369,node60063915,11.0,b,152.92228,-31.4711877,
370,node23319269,11.0,b,152.911359,-31.4665022,
371,cn-cable3338950-t2,11.0,b,152.915312,-31.4666327,
372,node22943850,11.0,b,152.922605,-31.4705887,
373,cn-geo_schematic_cable1861-t2,11.0,b,152.907356,-31.4663038,
374,cubicle50763,11.0,b,152.912115,-31.4674681,
375,node69876678,11.0,b,152.912397,-31.4676119,
376,cn-cable3338921-t2,11.0,b,152.914496,-31.4664068,
377,cubicle39696,11.0,b,152.905655,-31.4653839,
378,cubicle45838,11.0,b,152.914763,-31.4664105,
379,node69876797,11.0,b,152.910933,-31.4675238,
380,node79493030,11.0,b,152.921518,-31.4681632,
381,cubicle111147,11.0,b,152.922031,-31.4680536,
