,vm_pu,name,vn_kv,type,x,y,coords
119,0.9672544101436866,node57577378,11.0,b,152.905996,-31.4652987,
120,0.967254370503465,cn-cable3338487-t2,11.0,b,152.904929,-31.4639163,
121,0.9672543881297228,cubicle46861,11.0,b,152.906756,-31.4651631,
122,0.9514777687888002,cn-cable3338932-t2,11.0,b,152.915293,-31.4656528,
123,0.9885589094774766,cubicle38771,11.0,b,152.894282,-31.4633082,
124,0.9544772581815807,node69935532,11.0,b,152.920895,-31.4716813,
125,0.9514777974852805,node71579238,11.0,b,152.914964,-31.4676044,
126,0.9514777905854557,node71578696,11.0,b,152.912876,-31.4669786,
127,0.954477216680336,node69936152,11.0,b,152.921415,-31.4695426,
128,0.9677038389963114,cubicle47400,11.0,b,152.91172,-31.4683695,
129,0.9514777142080372,cn-cable3338864-t2,11.0,b,152.912203,-31.4661881,
130,0.9514777955639856,cn-cable3339037-t2,11.0,b,152.91664,-31.4678804,
131,0.9514777803439336,cubicle41398,11.0,b,152.918425,-31.4682064,
132,0.9984841314950184,node161553390,11.0,b,152.909655,-31.4664391,
133,0.9819235097225557,node101116406,11.0,b,152.921941,-31.4685613,
134,0.9514777680996295,cn-cable3338930-t2,11.0,b,152.915171,-31.4655908,
135,0.9979893778399828,node23506966,11.0,b,152.922335,-31.4684655,
136,0.9514777647388694,node67193326,11.0,b,152.916167,-31.4685306,
137,0.9993467152494387,cn-simulated23058287_112903-t2,11.0,b,152.89401,-31.4661166,
138,0.9672543797555886,node22373296,11.0,b,152.904725,-31.4657738,
139,0.9885589294097964,cubicle47839,11.0,b,152.894923,-31.4624961,
140,0.9819235195625214,node59312998,11.0,b,152.922377,-31.4684175,
141,0.9514777143209541,cubicle50467,11.0,b,152.91234,-31.4660617,
142,0.9984841314950184,cn-busbar355175-t2,11.0,b,152.909634,-31.4664392,
143,0.9544772122423985,cubicle33447,11.0,b,152.921516,-31.4691803,
144,0.9514778382579966,node70361087,11.0,b,152.915981,-31.4676849,
145,0.9672543982439233,cn-cable3338662-t2,11.0,b,152.905946,-31.4652594,
146,0.9672543706316181,cubicle69502,11.0,b,152.904869,-31.4638388,
