name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point1830899,1014,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592434,650,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point646851,807,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point661634,967,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584748,1111,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point664101,1115,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841966,469,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590214,1011,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621370,818,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748088,1143,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835297,461,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748083,888,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748090,293,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748590,1218,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842239,952,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747268,562,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835298,1068,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535398,914,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point575555,76,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point659798,838,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point599349,1220,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point616331,857,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672690,992,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point579909,1203,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747050,450,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590726,1146,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842332,965,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point581128,913,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point631193,628,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point652558,951,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747263,1046,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2588349,1147,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747270,879,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point658685,275,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842086,1070,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2449359,836,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point594532,1230,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630481,100,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621324,272,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point661726,1224,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841960,740,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747261,1010,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point628697,908,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point674474,258,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747262,970,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841962,880,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point647065,334,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601923,561,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747260,1076,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point628742,996,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656221,734,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point640266,1130,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841967,440,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747272,406,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648891,813,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841964,521,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point664069,1181,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748085,257,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point626874,904,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point598246,828,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point564657,506,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point645239,999,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632936,1165,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point643387,463,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747265,980,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point674428,574,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590263,1058,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point586605,872,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point562809,829,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point573731,1208,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2602988,1042,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632351,810,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590876,873,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2501910,1082,0.001,0.0003,0.0,0.0,,1.0,True,wye
